TABLE Colleges
Colleges.id,Colleges.Name,Colleges.Oxbridge
1,"Blackfriars, Oxford",True
2,"Harris Manchester, Oxford",True
3,"Magdalen, Oxford",True
4,"St Edmund Hall, Oxford",True
5,"St Peter's, Oxford",True
6,"Gonville & Caius, Cambridge",True
7,Cambridge University,True
8,"Selwyn, Cambridge",True
9,"Wolfson, Cambridge",True
10,"Rhodes Scholar, Oxford",True
11,"Corpus Christi, Oxford",True
12,"Kellogg, Oxford",True
13,"Nuffield, Oxford",True
14,"Downing, Cambridge",True
15,"Peterhouse, Cambridge",True
16,"Balliol, Oxford",True
17,"Green Templeton, Oxford",True
18,"Linacre, Oxford",True
19,"Merton, Oxford",True
20,"St Benet's Hall, Oxford",True
21,"St Cross, Oxford",True
22,"Trinity, Oxford",True
23,"Fitzwilliam, Cambridge",True
24,"Lucy Cavendish, Cambridge",True
25,"Robinson, Cambridge",True
26,"St Edmund's, Cambridge",True
28,"Greyfriars, Oxford",True
29,"Lincoln, Oxford",True
30,"Pembroke, Oxford",True
31,"Somerville, Oxford",True
32,"St John's, Oxford",True
33,"University, Oxford",True
34,"Christ's, Cambridge",True
35,"Clare, Cambridge",True
36,"Clare Hall, Cambridge",True
37,"Corpus Christi, Cambridge",True
38,"Girton, Cambridge",True
39,"Magdalene, Cambridge",True
40,"Gates Scholar, Cambridge",True
41,"All Souls, Oxford",True
42,"Campion Hall, Oxford",True
43,"Jesus, Oxford",True
44,Oxford University,True
45,"Regent's Park, Oxford",True
46,"St Hilda's, Oxford",True
47,"St Stephen's House, Oxford",True
48,"Wolfson, Oxford",True
49,"Hughes Hall, Cambridge",True
50,"Newnham, Cambridge",True
51,"St Catharine's, Cambridge",True
52,"Trinity, Cambridge",True
53,"Trinity Hall, Cambridge",True
54,"Christ Church, Oxford",True
55,"Keble, Oxford",True
56,"St Catherine's, Oxford",True
57,"Worcester, Oxford",True
58,"Darwin, Cambridge",True
59,"Jesus, Cambridge",True
60,"Pembroke, Cambridge",True
61,"St John's, Cambridge",True
64,"Marshall Scholar, Cambridge",True
65,"Exeter, Oxford",True
66,"Lady Margaret Hall, Oxford",True
67,"Ruskin, Oxford",True
68,"St Anne's, Oxford",True
69,"St Hugh's, Oxford",True
70,"Wycliffe Hall, Oxford",True
71,"Churchill, Cambridge",True
72,"Emmanuel, Cambridge",True
73,"King’s, Cambridge",True
74,"Queens’, Cambridge",True
75,"Sidney Sussex, Cambridge",True
78,"Marshall Scholar, Oxford",True
79,"Brasenose, Oxford",True
80,"Hertford, Oxford",True
81,"Mansfield, Oxford",True
82,"New College, Oxford",True
83,"Oriel, Oxford",True
84,"Queen's, Oxford",True
85,"St Antony's, Oxford",True
86,"Wadham, Oxford",True
